transaction_id,timestamp,minute_offset,payment_method,bank,region,merchant_id,amount,success,failure_reason
TXN0000643,2026-08-30 05:27:01+00:00,0,UPI,KOTAK,West,M003,1219.51,1,NONE
TXN0002299,2026-08-30 05:27:02+00:00,0,UPI,SBI,North,M006,4756.49,1,NONE
TXN0004206,2026-08-30 05:27:03+00:00,0,UPI,ICICI,Central,M004,1714.12,1,NONE
TXN0001684,2026-08-30 05:27:03+00:00,0,UPI,ICICI,North,M003,3001.88,1,NONE
TXN0003871,2026-08-30 05:27:04+00:00,0,UPI,AXIS,South,M002,779.78,1,NONE
TXN0005739,2026-08-30 05:27:08+00:00,0,UPI,SBI,East,M002,5300.81,1,NONE
TXN0000587,2026-08-30 05:27:10+00:00,0,CARD,HDFC,Central,M006,1677.34,0,INSUFFICIENT_FUNDS
TXN0001639,2026-08-30 05:27:15+00:00,0,UPI,HDFC,West,M005,1195.77,1,NONE
TXN0003869,2026-08-30 05:27:17+00:00,0,WALLET,SBI,East,M004,988.85,1,NONE
TXN0005389,2026-08-30 05:27:17+00:00,0,NETBANKING,SBI,West,M004,1287.58,0,INSUFFICIENT_FUNDS
TXN0003870,2026-08-30 05:27:20+00:00,0,UPI,ICICI,Central,M002,1021.22,1,NONE
TXN0006088,2026-08-30 05:27:23+00:00,0,CARD,ICICI,South,M006,1176.02,1,NONE
TXN0005229,2026-08-30 05:27:25+00:00,0,CARD,ICICI,West,M001,2214.16,1,NONE
TXN0007069,2026-08-30 05:27:27+00:00,0,WALLET,HDFC,North,M002,536.46,1,NONE
TXN0003336,2026-08-30 05:27:29+00:00,0,CARD,KOTAK,East,M001,5001.71,1,NONE
TXN0001527,2026-08-30 05:27:30+00:00,0,UPI,AXIS,West,M005,388.03,1,NONE
TXN0000007,2026-08-30 05:27:30+00:00,0,UPI,ICICI,South,M003,1511.38,1,NONE
TXN0001487,2026-08-30 05:27:33+00:00,0,CARD,ICICI,Central,M002,2736.42,1,NONE
TXN0005705,2026-08-30 05:27:35+00:00,0,UPI,HDFC,North,M004,1137.56,1,NONE
TXN0006207,2026-08-30 05:27:36+00:00,0,CARD,KOTAK,East,M005,199.99,1,NONE
TXN0006142,2026-08-30 05:27:36+00:00,0,CARD,AXIS,Central,M003,859.85,1,NONE
TXN0002147,2026-08-30 05:27:37+00:00,0,CARD,AXIS,Central,M004,804.89,1,NONE
TXN0002707,2026-08-30 05:27:38+00:00,0,UPI,KOTAK,Central,M003,2386.21,1,NONE
TXN0001488,2026-08-30 05:27:38+00:00,0,WALLET,HDFC,West,M005,580.5,1,NONE
TXN0006435,2026-08-30 05:27:39+00:00,0,UPI,SBI,North,M006,908.63,1,NONE
TXN0005782,2026-08-30 05:27:42+00:00,0,CARD,KOTAK,North,M002,1540.43,1,NONE
TXN0005792,2026-08-30 05:27:42+00:00,0,CARD,KOTAK,North,M002,418.27,1,NONE
TXN0001320,2026-08-30 05:27:43+00:00,0,WALLET,HDFC,South,M005,1764.36,1,NONE
TXN0003845,2026-08-30 05:27:43+00:00,0,UPI,HDFC,West,M003,955.97,1,NONE
TXN0005441,2026-08-30 05:27:44+00:00,0,NETBANKING,HDFC,South,M003,3012.13,1,NONE
TXN0004599,2026-08-30 05:27:44+00:00,0,UPI,SBI,Central,M001,858.51,1,NONE
TXN0000560,2026-08-30 05:27:49+00:00,0,CARD,HDFC,East,M006,1226.07,1,NONE
TXN0001339,2026-08-30 05:27:49+00:00,0,WALLET,SBI,West,M004,792.12,1,NONE
TXN0002606,2026-08-30 05:27:51+00:00,0,NETBANKING,SBI,South,M003,2141.52,1,NONE
TXN0000803,2026-08-30 05:27:55+00:00,0,UPI,HDFC,South,M004,901.37,1,NONE
TXN0005081,2026-08-30 05:27:55+00:00,0,CARD,AXIS,South,M003,894.07,1,NONE
TXN0003622,2026-08-30 05:27:57+00:00,0,UPI,SBI,West,M002,1104.5,1,NONE
TXN0006010,2026-08-30 05:27:58+00:00,0,UPI,HDFC,North,M006,822.09,1,NONE
TXN0003534,2026-08-30 05:27:58+00:00,0,UPI,AXIS,East,M003,2912.47,1,NONE
TXN0005417,2026-08-30 05:27:59+00:00,0,UPI,AXIS,Central,M002,1538.79,1,NONE
TXN0003162,2026-08-30 05:28:00+00:00,1,UPI,AXIS,South,M001,1331.66,1,NONE
TXN0005044,2026-08-30 05:28:01+00:00,1,UPI,KOTAK,Central,M004,3095.08,1,NONE
TXN0000397,2026-08-30 05:28:01+00:00,1,UPI,HDFC,South,M001,1556.87,1,NONE
TXN0005438,2026-08-30 05:28:01+00:00,1,NETBANKING,SBI,West,M001,990.44,1,NONE
TXN0007110,2026-08-30 05:28:03+00:00,1,CARD,ICICI,East,M005,230.63,1,NONE
TXN0003651,2026-08-30 05:28:04+00:00,1,CARD,ICICI,Central,M001,3382.95,1,NONE
TXN0006837,2026-08-30 05:28:06+00:00,1,UPI,HDFC,South,M002,723.7,1,NONE
TXN0005188,2026-08-30 05:28:07+00:00,1,CARD,KOTAK,South,M004,3438.16,1,NONE
TXN0006437,2026-08-30 05:28:07+00:00,1,UPI,ICICI,South,M006,1306.08,1,NONE
TXN0001326,2026-08-30 05:28:09+00:00,1,UPI,SBI,North,M006,599.81,1,NONE
TXN0006246,2026-08-30 05:28:10+00:00,1,UPI,AXIS,East,M002,1048.71,0,CUSTOMER_CANCELLED
TXN0004347,2026-08-30 05:28:11+00:00,1,UPI,HDFC,Central,M005,1529.79,1,NONE
TXN0000812,2026-08-30 05:28:11+00:00,1,CARD,KOTAK,North,M001,2094.74,1,NONE
TXN0003388,2026-08-30 05:28:14+00:00,1,NETBANKING,HDFC,East,M002,5752.76,1,NONE
TXN0004788,2026-08-30 05:28:17+00:00,1,CARD,KOTAK,South,M004,1270.7,0,BANK_DECLINED
TXN0000414,2026-08-30 05:28:18+00:00,1,UPI,ICICI,North,M002,3224.46,1,NONE
TXN0004393,2026-08-30 05:28:19+00:00,1,UPI,HDFC,South,M001,1158.8,1,NONE
TXN0004687,2026-08-30 05:28:21+00:00,1,UPI,HDFC,South,M001,1917.58,1,NONE
